Country_clean,Year,GDP,Population,GDP_per_capita,Rank_pc,Region
Poland,2021,689253.0,36981559.0,18637.74861411332,51.0,Europe
Portugal,2021,256226.0,10361831.0,24727.86904167806,42.0,Europe
Puerto Rico,2021,106427.0,3262711.0,32619.193057552446,32.0,North America
Qatar,2021,179732.0,2504910.0,71751.87930903705,6.0,Asia
Romania,2021,286783.0,19122059.0,14997.495824063717,61.0,Europe
Russia,2021,1828927.0,144746762.0,12635.356913890757,66.0,Europe
Rwanda,2021,11066.0,13355260.0,828.5873880403676,178.0,Africa
Samoa,2021,844.0,213779.0,3948.0023762857904,122.0,Oceania
San Marino,2021,1857.0,34252.0,54215.81221534509,13.0,Europe
Sao Tome and Principe,2021,529.0,221961.0,2383.3015709967067,144.0,Africa
Saudi Arabia,2021,874157.0,30784383.0,28396.11890223689,37.0,Asia
Senegal,2021,27584.0,17220867.0,1601.7776573037816,159.0,Africa
Serbia,2021,65830.0,6834326.0,9632.259274725848,74.0,Europe
Seychelles,2021,1490.0,99258.0,15011.384472788088,60.0,Africa
Sierra Leone,2021,7165.0,8094602.0,885.157787869002,175.0,Africa
Singapore,2021,436591.0,5453566.0,80056.05873294648,5.0,Asia
Slovakia,2021,120672.0,5447247.0,22152.84160971588,45.0,Europe
Slovenia,2021,61570.0,2108079.0,29206.68532820639,35.0,Europe
Solomon Islands,2021,1523.0,762591.0,1997.1387021352207,155.0,Oceania
Somalia,2021,9484.0,17271431.0,549.1148938382697,186.0,Africa
South Africa,2021,420778.0,61502603.0,6841.629125843666,91.0,Africa
South Sudan,2021,5940.0,10865780.0,546.6703724905161,187.0,Africa
Spain,2021,1462216.0,47443821.0,30819.94597357578,34.0,Europe
Sri Lanka,2021,88609.0,22156000.0,3999.3229824878135,120.0,Asia
Saint Kitts and Nevis,2021,859.0,46763.0,18369.223531424417,52.0,North America
Saint Lucia,2021,1867.0,178522.0,10458.094800640818,69.0,North America
Saint Vincent and the Grenadines,2021,888.0,102841.0,8634.688499722874,79.0,North America
Sudan,2021,35142.0,48066924.0,731.1056559392067,181.0,Africa
Suriname,2021,3084.0,617896.0,4991.131193598922,105.0,South America
Sweden,2021,637187.0,10415811.0,61174.977157323614,11.0,Europe
Switzerland,2021,814699.0,8704546.0,93594.65732043923,3.0,Europe
Syria,2021,,21628839.0,,,Asia
Tajikistan,2021,8934.0,9966908.0,896.3662552117468,174.0,Asia
Tanzania,2021,67964.0,62830412.0,1081.7054645447813,168.0,Africa
Thailand,2021,506195.0,71727332.0,7057.212165649769,89.0,Asia
Timor-Leste,2021,3625.0,1350139.0,2684.9087390261298,137.0,
Togo,2021,8338.0,8878379.0,939.1353984775825,171.0,Africa
Tonga,2021,520.0,105490.0,4929.377192150915,107.0,Oceania
Trinidad and Tobago,2021,24177.0,1367558.0,17678.957674921283,55.0,North America
Tunisia,2021,46813.0,12048622.0,3885.340580856466,123.0,Africa
Turkey,2021,807893.0,84147318.0,9600.935825429398,76.0,Asia
Turkmenistan,2021,60934.0,7092043.0,8591.882480125967,80.0,Asia
Tuvalu,2021,62.0,10194.0,6082.009024916618,97.0,Oceania
Uganda,2021,42805.0,45910930.0,932.3487892752336,172.0,Africa
Ukraine,2021,199835.0,44298640.0,4511.086570603522,114.0,Europe
United Arab Emirates,2021,415179.0,9575152.0,43360.042743968974,25.0,Asia
United Kingdom,2021,3144079.0,66984000.0,46937.76125641944,22.0,Europe
United States,2021,23681175.0,332099760.0,71307.4137722954,7.0,North America
Uruguay,2021,60742.0,3396695.0,17882.677131741297,53.0,South America
Uzbekistan,2021,77340.0,34243696.0,2258.517888956846,147.0,Asia
Vanuatu,2021,921.0,305868.0,3011.1028286711917,135.0,Oceania
Venezuela,2021,56615.0,28237826.0,2004.9347991591137,154.0,South America
